Date,Value
2016-04-10,23.68
2016-04-11,23.66
2016-04-12,23.06
2016-04-13,25.25
2016-04-14,25.76
2016-04-15,22.85
2016-04-16,22.97
2016-04-17,23.17
2016-04-18,22.69
2016-04-19,22.92
2016-04-20,23.24
2016-04-21,24.58
2016-04-22,23.17
2016-04-23,23.33
2016-04-24,22.9
2016-04-25,22.89
2016-04-26,24.01
2016-04-27,22.77
2016-04-28,23.15
2016-04-29,22.52
2016-04-30,23.59
2016-05-01,24.07
2016-05-02,23.74
2016-05-03,24.3
2016-05-04,23.68
2016-05-05,24.29
2016-05-06,23.04
2016-05-07,23.12
2016-05-08,23.31
2016-05-09,23.02
2016-05-10,23.59
2016-05-11,23.63
2016-05-12,25.33
2016-05-13,28.09
2016-05-14,23.7
2016-05-15,22.44
2016-05-16,22.74
2016-05-17,22.85
2016-05-18,23.5
2016-05-19,23.54
2016-05-20,23.62
2016-05-21,22.93
2016-05-22,22.92
2016-05-23,23.05
2016-05-24,23.39
2016-05-25,23.12
2016-05-26,22.61
2016-05-27,23.74
2016-05-28,26.75
2016-05-29,23.68
2016-05-30,23.15
2016-05-31,22.74
2016-06-01,22.69
2016-06-02,22.83
2016-06-03,22.75
2016-06-04,22.56
2016-06-05,22.63
2016-06-06,23.22
2016-06-07,23.74
2016-06-08,23.04
2016-06-09,22.66
2016-06-10,22.8
2016-06-11,22.38
2016-06-12,22.95
2016-06-13,22.76
2016-06-14,22.86
2016-06-15,22.71
2016-06-16,23.21
2016-06-17,24.63
2016-06-18,24.84
2016-06-19,22.74
2016-06-20,22.69
2016-06-21,25.07
2016-06-22,23.02
2016-06-23,22.62
2016-06-24,22.38
2016-06-25,22.5
2016-06-26,22.14
2016-06-27,22.31
2016-06-28,22.58
2016-06-29,22.92
2016-06-30,22.45
2016-07-01,22.62
2016-07-02,22.17
2016-07-03,22.44
2016-07-04,22.45
2016-07-05,22.79
2016-07-06,22.38
2016-07-07,22.36
2016-07-08,22.37
2016-07-09,22.41
2016-07-10,22.3
2016-07-11,22.51
2016-07-12,22.44
2016-07-13,22.11
2016-07-14,22.32
2016-07-15,22.15
2016-07-16,22.45
2016-07-17,22.39
2016-07-18,22.19
2016-07-19,21.82
2016-07-20,22.55
2016-07-21,22.5
2016-07-22,22.39
2016-07-23,22.64
2016-07-24,23.33
2016-07-25,23.06
2016-07-26,23.8
2016-07-27,22.89
2016-07-28,24.34
2016-07-29,22.95
2016-07-30,22.34
2016-07-31,22.55
2016-08-01,22.56
2016-08-02,22.68
2016-08-03,22.67
