Date,0.1,0.5,0.9
2021-04-29,60.3722839355,63.6224479675,66.5553283691
2021-05-06,51.4391860962,54.1815223694,57.3361320496
2021-05-13,54.0020866394,57.4369277954,60.8406257629
2021-05-20,47.9744606018,50.8651542664,54.4229927063
2021-05-27,47.0353507996,49.2351531982,51.5215530396
2021-06-03,51.0164413452,56.0533752441,61.6325378418
2021-06-10,52.7252120972,55.1984100342,58.6494750977
2021-06-17,50.9695281982,54.8485984802,58.3422431946
2021-06-24,52.6172485352,55.2426071167,57.6846084595
2021-07-01,50.974193573,54.4471511841,58.1826782227
2021-07-08,52.3343811035,55.2545700073,57.5987625122
2021-07-15,52.991733551,56.3304672241,60.6823654175
2021-07-22,54.9759674072,57.9292602539,62.252532959
2021-07-29,53.3028869629,57.2345581055,61.616985321
2021-08-05,49.5243492126,53.4737281799,57.0482215881
2021-08-12,48.1019058228,53.8282699585,57.6357040405
2021-08-19,47.3324966431,52.9519004822,57.8236618042
2021-08-26,51.5496826172,55.9306755066,62.2620391846
2021-09-02,46.0626678467,53.7028884888,60.0065460205
2021-09-09,45.5048942566,53.6894111633,61.0782966614
2021-09-16,46.3541564941,57.4282836914,65.5656967163
2021-09-23,47.758266449,56.0910339355,61.5881500244
2021-09-30,47.9822807312,54.9995193481,60.6024971008
2021-10-07,45.8401794434,51.0185966492,57.3532028198
2021-10-14,46.1947212219,50.0821609497,54.539981842
2021-10-21,45.5632820129,48.2248725891,52.2232627869
2021-10-28,44.9873542786,46.9558296204,50.325969696
2021-11-04,42.687915802,44.8756637573,47.7316627502
2021-11-11,42.3053894043,44.1643295288,47.0716133118
2021-11-18,41.9536361694,43.9763755798,45.8509750366
2021-11-25,41.9083786011,43.4063568115,45.3283157349
2021-12-02,39.4644508362,41.1638298035,44.2762260437
2021-12-09,38.3716659546,40.4807090759,42.2536277771
2021-12-16,38.8164176941,41.0358314514,43.2673149109
2021-12-23,39.5715103149,41.2707252502,43.2838745117
2021-12-30,40.3301200867,41.9433174133,43.6796531677
2022-01-06,34.365447998,35.6548233032,38.0060081482
2022-01-13,31.3805541992,33.2761192322,35.2564544678
2022-01-20,31.4451732635,32.6005783081,34.3281021118
2022-01-27,32.9768829346,34.5137710571,36.1725120544
2022-02-03,33.1143836975,34.4270782471,35.9069900513
2022-02-10,32.159122467,33.7585906982,35.2105712891
2022-02-17,32.8828811646,34.7750854492,36.7416915894
2022-02-24,32.5445709229,33.8470802307,35.8242263794
2022-03-03,30.7031841278,32.210899353,34.2912940979
2022-03-10,32.8023376465,34.4848976135,36.0486106873
2022-03-17,34.8495788574,36.7472572327,38.6342010498
2022-03-24,35.2234725952,37.2127304077,38.8531951904
2022-03-31,36.8399162292,38.233455658,40.9657707214
2022-04-07,33.2971000671,35.8197669983,38.5953712463
2022-04-14,36.4556617737,38.0406761169,39.9848251343
2022-04-21,35.7445869446,38.3469352722,40.6777915955
2022-04-28,34.5790710449,36.8891563416,38.7254600525
2022-05-05,33.4948806763,35.6331634521,38.6341018677
2022-05-12,34.1493225098,36.3884239197,39.3876647949
2022-05-19,34.4260292053,36.5701293945,38.3187103271
2022-05-26,35.4661979675,36.7733879089,39.0335960388
2022-06-02,37.5152206421,39.8127670288,42.1767349243
2022-06-09,37.8522796631,40.2309074402,41.8169021606
2022-06-16,33.4268493652,35.6479110718,38.2341079712
2022-06-23,33.1596488953,34.5084381104,36.170124054
2022-06-30,30.6594181061,32.4462127686,33.8964004517
2022-07-07,31.2557487488,32.1133575439,33.8974189758
2022-07-14,30.2864360809,31.6127624512,33.6161422729
2022-07-21,30.0638713837,31.9479866028,33.5025634766
2022-07-28,30.1398620605,31.4970245361,33.3802146912
2022-08-04,32.7951965332,34.9619598389,36.4475440979
2022-08-11,34.8317604065,36.8977241516,39.1101341248
2022-08-18,31.4142360687,33.0360794067,35.2183227539
2022-08-25,37.0774421692,39.3849525452,42.3245124817
2022-09-01,38.9302825928,42.1264572144,46.3981132507
2022-09-08,36.1768836975,41.8091850281,47.8870124817
2022-09-15,41.3720016479,47.1396751404,53.6661224365
2022-09-22,33.174911499,40.4692306519,50.0378990173
2022-09-29,36.6087417603,44.6538658142,56.0199508667
2022-10-06,35.4285621643,46.9108505249,55.3652229309
2022-10-13,37.4557228088,44.827960968,59.2109222412
2022-10-20,26.0098171234,37.9065437317,46.7601585388
2022-10-27,26.2600650787,30.9777622223,37.5856590271
2022-11-03,24.3216686249,29.6919746399,33.9776916504
2022-11-10,24.1860198975,27.94871521,33.0316200256
2022-11-17,23.114068985,28.9467887878,33.8409118652
2022-11-24,25.4009933472,29.0878219604,32.8855743408
2022-12-01,25.6268310547,32.8981819153,38.1106834412
2022-12-08,25.7497596741,33.6620750427,42.2047958374
2022-12-15,29.007730484,34.4038696289,41.9236335754
2022-12-22,28.7733230591,36.389503479,43.3373031616
2022-12-29,32.2741012573,37.6368026733,44.5920372009
2023-01-05,30.8648319244,42.9127922058,54.4304580688
2023-01-12,35.3279800415,43.3375740051,51.3234214783
2023-01-19,35.4480361938,40.8612861633,47.2089233398
2023-01-26,33.2128639221,35.6593513489,39.2126655579
2023-02-02,36.145362854,38.6445388794,41.4232978821
2023-02-09,31.8961029053,33.9354095459,36.763092041
2023-02-16,34.4388313293,36.2415122986,38.9811210632
2023-02-23,27.540807724,29.6926460266,31.7760982513
2023-03-02,31.1273326874,33.9875564575,36.7550354004
2023-03-09,32.3176345825,34.4588699341,36.5296173096
2023-03-16,28.4110622406,30.6117649078,33.1672325134
2023-03-23,25.9149932861,28.6096172333,30.9726905823
